#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Scarab (Germany);Scarab (Germany);Commodore 64;;1985;Gepo-Soft (Gehrhard und Poschmann Computersoftware);Adventure;;;;;0;;;;;
Scare Bear (Europe);Scare Bear (Europe);Commodore 64;;1987;Alternative Software;Action;;;;;0;;;;;
Scare City Motel (USA);Scare City Motel (USA);Commodore 64;;1982;Commodore;Simulation;;;;;0;;;;;
Scarper! (Europe);Scarper! (Europe);Commodore 64;;1984;MC Lothlorien;Shoot-'Em-Up;;;;;0;;;;;
Scary Adventure (Europe);Scary Adventure (Europe);Commodore 64;;19xx;The Guild Adventure Software;Adventure;;;;;0;;;;;
Scary Monsters (Europe);Scary Monsters (Europe);Commodore 64;;1986;Firebird/Odin Computer Graphics;Adventure;;;;;0;;;;;
Scenario (Germany);Scenario (Germany);Commodore 64;;1992;Starbyte Software;Strategy;;;;;0;;;;;
Sceptre of Baghdad (Europe) (Unl);Sceptre of Baghdad (Europe) (Unl);Commodore 64;;1993;Psytronik Software;Adventure;;;;;0;;;;;
Sceptre of Baghdad Uncut (Europe) (Unl);Sceptre of Baghdad Uncut (Europe) (Unl);Commodore 64;;1996;Commodore Zone;Adventure;;;;;0;;;;;
Schatzsucher (Germany);Schatzsucher (Germany);Commodore 64;;1990;Markt & Technik/64'er;Platform;;;;;0;;;;;
Schere Stein Papier (Europe);Schere Stein Papier (Europe);Commodore 64;;1992;CP Verlag/Magic Disk 64;Puzzle;;;;;0;;;;;
School Bus Driver (USA);School Bus Driver (USA);Commodore 64;;1988;Spinnaker Software/Fisher-Price Learning Software;Action;;;;;0;;;;;
Scooby Doo (Europe);Scooby Doo (Europe);Commodore 64;;1986;Elite;Platform;;;;;0;;;;;
Scooby Doo (USA) (Disk 1);Scooby Doo (USA) (Disk 1);Commodore 64;;1989;Microillusions;Adventure;;;;;0;;;;;
Scooby Doo (USA) (Disk 2);Scooby Doo (USA) (Disk 2);Commodore 64;;1989;Microillusions;Adventure;;;;;0;;;;;
Scooby Doo (USA) (Disk 3);Scooby Doo (USA) (Disk 3);Commodore 64;;1989;Microillusions;Adventure;;;;;0;;;;;
Scooby Doo (USA) (Disk 4);Scooby Doo (USA) (Disk 4);Commodore 64;;1989;Microillusions;Adventure;;;;;0;;;;;
Scooby Doo (USA) (Disk 5);Scooby Doo (USA) (Disk 5);Commodore 64;;1989;Microillusions;Adventure;;;;;0;;;;;
Scooby and Scrappy Doo (Europe);Scooby and Scrappy Doo (Europe);Commodore 64;;1991;Hi-Tec Software;Platform;;;;;0;;;;;
Scoop!, The (Europe);Scoop!, The (Europe);Commodore 64;;1985;Sentient Software;Adventure;;;;;0;;;;;
Scorpio (Europe);Scorpio (Europe);Commodore 64;;1988;Kingsoft;Shoot-'Em-Up;;;;;0;;;;;
Scorpion (Europe);Scorpion (Europe);Commodore 64;;1988;Rack It Hewson;Shoot-'Em-Up;;;;;0;;;;;
Scorpius (Europe);Scorpius (Europe);Commodore 64;;1988;Silverbird;Shoot-'Em-Up;;;;;0;;;;;
Scortia (USA);Scortia (USA);Commodore 64;;1997;Eagleware International;Breakout;;;;;0;;;;;
Scottish League Football (Europe);Scottish League Football (Europe);Commodore 64;;19xx;Cult Games;Sports/Soccer;;;;;0;;;;;
Scout (Europe);Scout (Europe);Commodore 64;;1988;Mastertronic;Shoot-'Em-Up;;;;;0;;;;;
Scrabble De Luxe (Europe);Scrabble De Luxe (Europe);Commodore 64;;1986;Leisure Genius;Casino;;;;;0;;;;;
Scrambit Mania (USA);Scrambit Mania (USA);Commodore 64;;1984;Micro-Ed, Inc.;Puzzle;;;;;0;;;;;
Scramble (USA) (Unl);Scramble (USA) (Unl);Commodore 64;;2014;Thomas Kite;Shoot-'Em-Up;;;;;0;;;;;
Scramble 64 (Europe);Scramble 64 (Europe);Commodore 64;;1983;Interceptor Software;Shoot-'Em-Up;;;;;0;;;;;
Scramble Spirits (Europe);Scramble Spirits (Europe);Commodore 64;;1990;Grandslam Entertainment Ltd.;Shoot-'Em-Up;;;;;0;;;;;
Scroll of Akbar Khan, The (Europe);Scroll of Akbar Khan, The (Europe);Commodore 64;;198x;Mountain Valley Software;Adventure;;;;;0;;;;;
Scrolls of Abadon, The (USA);Scrolls of Abadon, The (USA);Commodore 64;;1984;Access Software;Action;;;;;0;;;;;
Scruples (Europe);Scruples (Europe);Commodore 64;;1987;Leisure Genius;Puzzle;;;;;0;;;;;
Scuba Dive (Europe);Scuba Dive (Europe);Commodore 64;;1983;Durell Software;Action;;;;;0;;;;;
Scuba Kidz (Europe);Scuba Kidz (Europe);Commodore 64;;1988;Silverbird;Action;;;;;0;;;;;
Scud-Busters (USA);Scud-Busters (USA);Commodore 64;;1991;Spotsoft;Shoot-'Em-Up;;;;;0;;;;;
Scumball (Europe);Scumball (Europe);Commodore 64;;1988;Mastertronic/Bulldog Software;Platform;;;;;0;;;;;
Scumm (Europe);Scumm (Europe);Commodore 64;;1991;CP Verlag/Game On;Puzzle;;;;;0;;;;;
Scuttle (Netherlands);Scuttle (Netherlands);Commodore 64;;1985;Aackosoft;Shoot-'Em-Up;;;;;0;;;;;
Se-Kaa of Assiah (Europe);Se-Kaa of Assiah (Europe);Commodore 64;;1984;Mastertronic;Adventure;;;;;0;;;;;
Sea Dragon (USA);Sea Dragon (USA);Commodore 64;;1984;Adventure International;Shoot-'Em-Up;;;;;0;;;;;
Sea Muncher (USA);Sea Muncher (USA);Commodore 64;;1983;K-Tek/K-Tel Software Inc.;Action;;;;;0;;;;;
Sea Phantom, The (Europe);Sea Phantom, The (Europe);Commodore 64;;1988;Free Spirit Software;Adventure;;;;;0;;;;;
Sea Ranger (Europe);Sea Ranger (Europe);Commodore 64;;1986;Supernova*Software;Shoot-'Em-Up;;;;;0;;;;;
Sea Voyagers, The (USA);Sea Voyagers, The (USA);Commodore 64;;1984;CBS Software;Quiz;;;;;0;;;;;
Sea Wolf (USA);Sea Wolf (USA);Commodore 64;;1982;Commodore;Shoot-'Em-Up;;;;;0;;;;;
Seabase Delta (Europe);Seabase Delta (Europe);Commodore 64;;1986;Firebird;Adventure;;;;;0;;;;;
Seafox (USA);Seafox (USA);Commodore 64;;1982;Brøderbund;Shoot-'Em-Up;;;;;0;;;;;
Seahorses (USA);Seahorses (USA);Commodore 64;;1984;CBS Software;Miscellaneous;;;;;0;;;;;
Search for King Solomon's Mines, The (USA);Search for King Solomon's Mines, The (USA);Commodore 64;;1986;SoftGold;Adventure;;;;;0;;;;;
Search for Magdarr (Europe);Search for Magdarr (Europe);Commodore 64;;1983;Aardvark Software;Role-Playing;;;;;0;;;;;
Search for Reaper (Europe);Search for Reaper (Europe);Commodore 64;;19xx;The Guild Adventure Software;Adventure;;;;;0;;;;;
Search for the Lost Dick (Europe);Search for the Lost Dick (Europe);Commodore 64;;1993;Vortex Software House;Adventure;;;;;0;;;;;
Search for the Secret of Life, The (Europe);Search for the Secret of Life, The (Europe);Commodore 64;;1987;Incentive Software;Adventure;;;;;0;;;;;
Search for the Titanic (USA) (Side A);Search for the Titanic (USA) (Side A);Commodore 64;;1989;IntraCorp, Inc.;Simulation;;;;;0;;;;;
Search for the Titanic (USA) (Side B);Search for the Titanic (USA) (Side B);Commodore 64;;1989;IntraCorp, Inc.;Simulation;;;;;0;;;;;
Seas of Blood (USA);Seas of Blood (USA);Commodore 64;;1986;Adventure International;Adventure;;;;;0;;;;;
Seaside Special (Europe);Seaside Special (Europe);Commodore 64;;1984;Taskset;Action;;;;;0;;;;;
Seastalker - Dive Deep Into Danger (USA);Seastalker - Dive Deep Into Danger (USA);Commodore 64;;1985;Infocom;Adventure;;;;;0;;;;;
Seawar (Netherlands);Seawar (Netherlands);Commodore 64;;1984;RadarSoft;Shoot-'Em-Up;;;;;0;;;;;
Seawolfe (Europe);Seawolfe (Europe);Commodore 64;;1983;Mogul Communications Ltd.;Shoot-'Em-Up;;;;;0;;;;;
Secret Mission (USA);Secret Mission (USA);Commodore 64;;1984;Adventure International;Adventure;;;;;0;;;;;
Secret Tunnel (USA) (Unl);Secret Tunnel (USA) (Unl);Commodore 64;;2012;Iceout Games;Maze;;;;;0;;;;;
Secret of Bastow Manor, The (USA);Secret of Bastow Manor, The (USA);Commodore 64;;1983;Computer Classics Pty. Ltd.;Adventure;;;;;0;;;;;
Secret of Kandar (Europe);Secret of Kandar (Europe);Commodore 64;;1986;Alpha Omega Software;Adventure;;;;;0;;;;;
Secret of Kublaih (USA);Secret of Kublaih (USA);Commodore 64;;1983;JMP Software;Adventure;;;;;0;;;;;
Secret of St. Bride's, The (Europe);Secret of St. Bride's, The (Europe);Commodore 64;;1985;Audiogenic Software Ltd./St. Bride's School;Adventure;;;;;0;;;;;
Secret of the Silver Blades (USA) (Disk 1 Side A);Secret of the Silver Blades (USA) (Disk 1 Side A);Commodore 64;;1990;SSI (Strategic Simulations, Inc.);Adventure;;;;;0;;;;;
Secret of the Silver Blades (USA) (Disk 1 Side B);Secret of the Silver Blades (USA) (Disk 1 Side B);Commodore 64;;1990;SSI (Strategic Simulations, Inc.);Adventure;;;;;0;;;;;
Secret of the Silver Blades (USA) (Disk 2 Side A);Secret of the Silver Blades (USA) (Disk 2 Side A);Commodore 64;;1990;SSI (Strategic Simulations, Inc.);Adventure;;;;;0;;;;;
Secret of the Silver Blades (USA) (Disk 2 Side B);Secret of the Silver Blades (USA) (Disk 2 Side B);Commodore 64;;1990;SSI (Strategic Simulations, Inc.);Adventure;;;;;0;;;;;
Secret of the Silver Blades (USA) (Disk 3 Side A);Secret of the Silver Blades (USA) (Disk 3 Side A);Commodore 64;;1990;SSI (Strategic Simulations, Inc.);Adventure;;;;;0;;;;;
Secret of the Silver Blades (USA) (Disk 3 Side B);Secret of the Silver Blades (USA) (Disk 3 Side B);Commodore 64;;1990;SSI (Strategic Simulations, Inc.);Adventure;;;;;0;;;;;
Sector 90 (Europe);Sector 90 (Europe);Commodore 64;;1987;Argus Press Software (APS);Shoot-'Em-Up;;;;;0;;;;;
Security Alert (USA) (Side A);Security Alert (USA) (Side A);Commodore 64;;1991;First Star Software;Action;;;;;0;;;;;
Security Alert (USA) (Side B);Security Alert (USA) (Side B);Commodore 64;;1991;First Star Software;Action;;;;;0;;;;;
Seek and Destroy (Europe);Seek and Destroy (Europe);Commodore 64;;1983;Stack Computer Services Ltd.;Board Games;;;;;0;;;;;
Seesaw (Europe);Seesaw (Europe);Commodore 64;;1984;Argus Press Software (APS)/Quicksilva;Action;;;;;0;;;;;
Segregation (USA);Segregation (USA);Commodore 64;;1990;Remsoft Systems;Puzzle;;;;;0;;;;;
Sensitive (USA);Sensitive (USA);Commodore 64;;199x;Unknown;Puzzle;;;;;0;;;;;
Sensor (Europe);Sensor (Europe);Commodore 64;;1991;CP Verlag/Game On;Puzzle;;;;;0;;;;;
Sentence (Europe);Sentence (Europe);Commodore 64;;1991;CP Verlag/Game On;Platform;;;;;0;;;;;
Sentinel (Street Games) (Europe);Sentinel (Street Games) (Europe);Commodore 64;;1985;Street Games;Shoot-'Em-Up;;;;;0;;;;;
Sentinel (Synapse Software) (USA);Sentinel (Synapse Software) (USA);Commodore 64;;1984;Synapse Software;Shoot-'Em-Up;;;;;0;;;;;
Sentinel Worlds I - Future Magic (USA) (Disk 1 Side A);Sentinel Worlds I - Future Magic (USA) (Disk 1 Side A);Commodore 64;;1989;Electronic Arts;Adventure;;;;;0;;;;;
Sentinel Worlds I - Future Magic (USA) (Disk 1 Side B);Sentinel Worlds I - Future Magic (USA) (Disk 1 Side B);Commodore 64;;1989;Electronic Arts;Adventure;;;;;0;;;;;
Sentinel Worlds I - Future Magic (USA) (Disk 2 Side A);Sentinel Worlds I - Future Magic (USA) (Disk 2 Side A);Commodore 64;;1989;Electronic Arts;Adventure;;;;;0;;;;;
Sentinel Worlds I - Future Magic (USA) (Disk 2 Side B);Sentinel Worlds I - Future Magic (USA) (Disk 2 Side B);Commodore 64;;1989;Electronic Arts;Adventure;;;;;0;;;;;
Sentry, The (Europe);Sentry, The (Europe);Commodore 64;;1987;Firebird;Strategy;;;;;0;;;;;
September (Europe);September (Europe);Commodore 64;;1988;Electric Dreams Software;Puzzle;;;;;0;;;;;
Sequel (Germany);Sequel (Germany);Commodore 64;;1992;Markt & Technik/64'er;Puzzle;;;;;0;;;;;
Sergeant Seymour - Robotcop (Europe);Sergeant Seymour - Robotcop (Europe);Commodore 64;;1992;Codemasters;Action;;;;;0;;;;;
Serpent's Star, The (USA) (Side A);Serpent's Star, The (USA) (Side A);Commodore 64;;1985;Brøderbund/Ultrasoft;Adventure;;;;;0;;;;;
Serpent's Star, The (USA) (Side B);Serpent's Star, The (USA) (Side B);Commodore 64;;1985;Brøderbund/Ultrasoft;Adventure;;;;;0;;;;;
Serpentine (USA);Serpentine (USA);Commodore 64;;1982;Brøderbund;Action;;;;;0;;;;;
Serpentone (Italy);Serpentone (Italy);Commodore 64;;1984;Systems Editoriale s.r.l.;Action;;;;;0;;;;;
Serve & Volley (USA);Serve & Volley (USA);Commodore 64;;1988;Accolade;Sports/Tennis;;;;;0;;;;;
Sesame Street - Letter-Go-Round (USA);Sesame Street - Letter-Go-Round (USA);Commodore 64;;1988;Hi Tech Expressions;Educational;;;;;0;;;;;
Sesame Street - Pals Around Town (USA);Sesame Street - Pals Around Town (USA);Commodore 64;;1987;Hi Tech Expressions;Educational;;;;;0;;;;;
Session , The (USA) (Unl);Session , The (USA) (Unl);Commodore 64;;1992;More.Gore Software;Puzzle;;;;;0;;;;;
Session v1.4, The (USA) (Unl);Session v1.4, The (USA) (Unl);Commodore 64;;2001;More.Gore Software;Puzzle;;;;;0;;;;;
Seven Cities of Gold (USA) (Side A);Seven Cities of Gold (USA) (Side A);Commodore 64;;1984;Electronic Arts;Adventure;;;;;0;;;;;
Seven Cities of Gold (USA) (Side B);Seven Cities of Gold (USA) (Side B);Commodore 64;;1984;Electronic Arts;Adventure;;;;;0;;;;;
Seventh Fleet (Canada);Seventh Fleet (Canada);Commodore 64;;1985;Simulations Canada;Strategy;;;;;0;;;;;
Sex Vixens from Space (Europe);Sex Vixens from Space (Europe);Commodore 64;;1988;Free Spirit Software;Adventure;;;;;0;;;;;
Seymour at the Movies (Europe);Seymour at the Movies (Europe);Commodore 64;;1992;Codemasters;Platform;;;;;0;;;;;
Sgt Slaughters Mat Wars (USA);Sgt Slaughters Mat Wars (USA);Commodore 64;;1989;Mindscape, Inc.;Sports/Wrestling;;;;;0;;;;;
Shackled (Europe);Shackled (Europe);Commodore 64;;1988;US Gold;Action;;;;;0;;;;;
Shades (Europe);Shades (Europe);Commodore 64;;1985;Durell Software;Adventure;;;;;0;;;;;
Shadow Dancer (Europe);Shadow Dancer (Europe);Commodore 64;;1991;US Gold/SEGA;Platform;;;;;0;;;;;
Shadow Force (Europe);Shadow Force (Europe);Commodore 64;;1989;Magic Soft;Shoot-'Em-Up;;;;;0;;;;;
Shadow Skimmer (Europe);Shadow Skimmer (Europe);Commodore 64;;1987;The Edge;Shoot-'Em-Up;;;;;0;;;;;
Shadow Warriors (Europe);Shadow Warriors (Europe);Commodore 64;;1990;Ocean;Beat-'Em-Up;;;;;0;;;;;
Shadow of the Beast (USA) (Side A);Shadow of the Beast (USA) (Side A);Commodore 64;;1990;Ocean/Psygnosis;Platform;;;;;0;;;;;
Shadow of the Beast (USA) (Side B) (Docs);Shadow of the Beast (USA) (Side B) (Docs);Commodore 64;;1990;Ocean/Psygnosis;Platform;;;;;0;;;;;
Shadow over Innsmouth, The (USA) (Unl);Shadow over Innsmouth, The (USA) (Unl);Commodore 64;;2010;Chris Yates;Shoot-'Em-Up;;;;;0;;;;;
Shadowfax (Europe);Shadowfax (Europe);Commodore 64;;1983;Postern;Shoot-'Em-Up;;;;;0;;;;;
Shadowfire (USA);Shadowfire (USA);Commodore 64;;1985;Beyond;Action;;;;;0;;;;;
Shadows of Mordor, The (Europe);Shadows of Mordor, The (Europe);Commodore 64;;1987;Melbourne House;Adventure;;;;;0;;;;;
Shaft Raider (USA);Shaft Raider (USA);Commodore 64;;1983;Program One, Inc.;Shoot-'Em-Up;;;;;0;;;;;
Shafted in San Diego (USA) (Side A);Shafted in San Diego (USA) (Side A);Commodore 64;;1986;Blue Cavern Software;Adventure;;;;;0;;;;;
Shafted in San Diego (USA) (Side B);Shafted in San Diego (USA) (Side B);Commodore 64;;1986;Blue Cavern Software;Adventure;;;;;0;;;;;
Shakey City (Europe);Shakey City (Europe);Commodore 64;;19xx;The Guild Adventure Software;Adventure;;;;;0;;;;;
Shaman (Europe);Shaman (Europe);Commodore 64;;1995;CP Verlag/Magic Disk 64;Platform;;;;;0;;;;;
Shamus (USA);Shamus (USA);Commodore 64;;1983;Synapse Software;Shoot-'Em-Up;;;;;0;;;;;
Shamus Case II (USA);Shamus Case II (USA);Commodore 64;;1984;Synapse Software;Platform;;;;;0;;;;;
Shanghai (USA);Shanghai (USA);Commodore 64;;1986;Activision;Puzzle;;;;;0;;;;;
Shanghai Karate (Europe);Shanghai Karate (Europe);Commodore 64;;1988;Players Software;Fighter;;;;;0;;;;;
Shanghai Warriors (Europe);Shanghai Warriors (Europe);Commodore 64;;1989;Players Software;Beat-'Em-Up;;;;;0;;;;;
Shao-Lin's Road (Europe);Shao-Lin's Road (Europe);Commodore 64;;1986;The Edge;Beat-'Em-Up;;;;;0;;;;;
Shaolin (Europe) (Unl);Shaolin (Europe) (Unl);Commodore 64;;2001;Commodore Zone;Beat-'Em-Up;;;;;0;;;;;
Shaolin+ (Europe) (Unl);Shaolin+ (Europe) (Unl);Commodore 64;;2013;Psytronik Software;Beat-'Em-Up;;;;;0;;;;;
Shape Shop (USA);Shape Shop (USA);Commodore 64;;1985;Spinnaker Software;Educational;;;;;0;;;;;
Shard of Inovar (Europe);Shard of Inovar (Europe);Commodore 64;;1987;Mastertronic/Bulldog Software;Adventure;;;;;0;;;;;
Shard of Spring, The (USA) (Disk 1 Side A);Shard of Spring, The (USA) (Disk 1 Side A);Commodore 64;;1986;SSI (Strategic Simulations, Inc.);Role-Playing;;;;;0;;;;;
Shard of Spring, The (USA) (Disk 1 Side B);Shard of Spring, The (USA) (Disk 1 Side B);Commodore 64;;1986;SSI (Strategic Simulations, Inc.);Role-Playing;;;;;0;;;;;
Shard of Spring, The (USA) (Disk 2);Shard of Spring, The (USA) (Disk 2);Commodore 64;;1986;SSI (Strategic Simulations, Inc.);Role-Playing;;;;;0;;;;;
Shards (Europe);Shards (Europe);Commodore 64;;1993;CP Verlag/Game On;Puzzle;;;;;0;;;;;
Shark (Europe);Shark (Europe);Commodore 64;;1989;Players Premier;Shoot-'Em-Up;;;;;0;;;;;
Sharky (Europe);Sharky (Europe);Commodore 64;;1985;Mr. Micro Ltd.;Shoot-'Em-Up;;;;;0;;;;;
