#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Pong (2004) (USA) (Unl);Pong (2004) (USA) (Unl);Magnavox Odyssey 2;;2004;Pakrat;Action;;;;;0;;;;;
Popeye (Europe);Popeye (Europe);Magnavox Odyssey 2;;1978;Philips;Action;;;;;0;;;;;
Power Lords (USA);Power Lords (USA);Magnavox Odyssey 2;;1983;Philips;Action;;;;;0;;;;;
Puzzle Piece Panic! (USA) (Proto);Puzzle Piece Panic! (USA) (Proto);Magnavox Odyssey 2;;2007;Ted Foolery;Puzzle;;;;;0;;;;;
Q-Bert (Europe);Q-Bert (Europe);Magnavox Odyssey 2;;1983;Parker Bros.;Action;;;;;0;;;;;
Quest for the Rings (USA, Europe);Quest for the Rings (USA, Europe);Magnavox Odyssey 2;;1981;Philips;Role-Playing;;;;;0;;;;;
Red Baron (Europe) (Proto);Red Baron (Europe) (Proto);Magnavox Odyssey 2;;1983;Philips;Flying;;;;;0;;;;;
Robot City (Europe) (Proto);Robot City (Europe) (Proto);Magnavox Odyssey 2;;2009;GST Video;Action;;;;;0;;;;;
Route 66 (Europe) (Proto);Route 66 (Europe) (Proto);Magnavox Odyssey 2;;2007;Humanoid Games;Driving;;;;;0;;;;;
Secret of the Pharaohs (Europe);Secret of the Pharaohs (Europe);Magnavox Odyssey 2;;1981;Philips;Strategy;;;;;0;;;;;
Shark Hunter (Europe) (Proto);Shark Hunter (Europe) (Proto);Magnavox Odyssey 2;;2006;GST Video;Action;;;;;0;;;;;
Showdown in 2100 A.D. (USA);Showdown in 2100 A.D. (USA);Magnavox Odyssey 2;;1978;Magnavox;Shooter;;;;;0;;;;;
Sid the Spellbinder (USA);Sid the Spellbinder (USA);Magnavox Odyssey 2;;1978;Philips;Shooter;;;;;0;;;;;
Smithereens (USA);Smithereens (USA);Magnavox Odyssey 2;;1982;Philips;Strategy;;;;;0;;;;;
Speedway + Spin-out + Crypto-logic (USA, Europe);Speedway + Spin-out + Crypto-logic (USA, Europe);Magnavox Odyssey 2;;1978;Magnavox;Compilation;;;;;0;;;;;
Spider-Man (Europe) (Proto);Spider-Man (Europe) (Proto);Magnavox Odyssey 2;;2006;Parker Bros.;Action;;;;;0;;;;;
Super Bee (Europe);Super Bee (Europe);Magnavox Odyssey 2;;1983;Philips;Action;;;;;0;;;;;
Super Cobra (Europe);Super Cobra (Europe);Magnavox Odyssey 2;;1983;Parker Bros.;Shooter;;;;;0;;;;;
Syracuse (France);Syracuse (France);Magnavox Odyssey 2;;1980;Magnavox;Action;;;;;0;;;;;
Take the Money and Run (USA, Europe);Take the Money and Run (USA, Europe);Magnavox Odyssey 2;;1978;Magnavox;Action;;;;;0;;;;;
Thunderball (USA, Europe);Thunderball (USA, Europe);Magnavox Odyssey 2;;1979;Magnavox;Simulation;;;;;0;;;;;
Turtles (USA);Turtles (USA);Magnavox Odyssey 2;;1983;Philips;Action;;;;;0;;;;;
Tutankham (Europe) (Proto);Tutankham (Europe) (Proto);Magnavox Odyssey 2;;2007;Parker Bros.;Action;;;;;0;;;;;
Type & Tell (USA);Type & Tell (USA);Magnavox Odyssey 2;;1982;Philips;Miscellaneous;;;;;0;;;;;
UFO (USA);UFO (USA);Magnavox Odyssey 2;;1981;Magnavox;Shooter;;;;;0;;;;;
Volleyball (USA, Europe);Volleyball (USA, Europe);Magnavox Odyssey 2;;1980;Magnavox;Sports/Volleyball;;;;;0;;;;;
War of Nerves (USA, Europe);War of Nerves (USA, Europe);Magnavox Odyssey 2;;1979;Magnavox;Strategy;;;;;0;;;;;
