#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
BlaZeon - The Bio-Cyborg Challenge (USA);BlaZeon - The Bio-Cyborg Challenge (USA);Super Nintendo Entertainment System;;1992;Atlus;Shooter;;;;;0;;;;;
Blackthorne (USA);Blackthorne (USA);Super Nintendo Entertainment System;;1995;Interplay;Platform;;;;;0;;;;;
Blues Brothers, The (USA);Blues Brothers, The (USA);Super Nintendo Entertainment System;;1993;Titus Software;Platform;;;;;0;;;;;
Bobby's World (USA) (Proto);Bobby's World (USA) (Proto);Super Nintendo Entertainment System;;1995;RSP;Platform;;;;;0;;;;;
Bonkers (USA);Bonkers (USA);Super Nintendo Entertainment System;;1994;Capcom;Platform;;;;;0;;;;;
Boogerman - A Pick and Flick Adventure (USA);Boogerman - A Pick and Flick Adventure (USA);Super Nintendo Entertainment System;;1995;Interplay;Platform;;;;;0;;;;;
Boxing Legends of the Ring (USA);Boxing Legends of the Ring (USA);Super Nintendo Entertainment System;;1993;Electro Brain;Sports/Boxing;;;;;0;;;;;
Brain Lord (USA);Brain Lord (USA);Super Nintendo Entertainment System;;1994;Enix;Role-Playing;;;;;0;;;;;
Brainies, The (USA);Brainies, The (USA);Super Nintendo Entertainment System;;1996;Titus Software;Puzzle;;;;;0;;;;;
Bram Stoker's Dracula (USA);Bram Stoker's Dracula (USA);Super Nintendo Entertainment System;;1993;Sony Imagesoft;Platform;;;;;0;;;;;
Brandish (USA);Brandish (USA);Super Nintendo Entertainment System;;1995;Koei;Role-Playing;;;;;0;;;;;
Brawl Brothers (USA);Brawl Brothers (USA);Super Nintendo Entertainment System;;1993;Jaleco;Fighter;;;;;0;;;;;
BreakThru! (USA);BreakThru! (USA);Super Nintendo Entertainment System;;1995;Spectrum Holobyte;Puzzle;;;;;0;;;;;
Breath of Fire (USA);Breath of Fire (USA);Super Nintendo Entertainment System;;1994;SquareSoft;Role-Playing;;;;;0;;;;;
Breath of Fire II (USA);Breath of Fire II (USA);Super Nintendo Entertainment System;;1995;Capcom;Role-Playing;;;;;0;;;;;
Brett Hull Hockey '95 (USA);Brett Hull Hockey '95 (USA);Super Nintendo Entertainment System;;1995;Accolade;Sports/Hockey;;;;;0;;;;;
Brett Hull Hockey (USA);Brett Hull Hockey (USA);Super Nintendo Entertainment System;;1994;Accolade;Sports/Hockey;;;;;0;;;;;
Bronkie the Bronchiasaurus (USA);Bronkie the Bronchiasaurus (USA);Super Nintendo Entertainment System;;1995;Raya Systems;Platform;;;;;0;;;;;
Brunswick World Tournament of Champions (USA);Brunswick World Tournament of Champions (USA);Super Nintendo Entertainment System;;1997;Black Pearl;Sports/Tennis;;;;;0;;;;;
Brutal - Paws of Fury (USA);Brutal - Paws of Fury (USA);Super Nintendo Entertainment System;;1994;Cybersoft;Fighter;;;;;0;;;;;
Bubsy II (USA);Bubsy II (USA);Super Nintendo Entertainment System;;1994;Accolade;Platform;;;;;0;;;;;
Bubsy in Claws Encounters of the Furred Kind (USA);Bubsy in Claws Encounters of the Furred Kind (USA);Super Nintendo Entertainment System;;1993;Accolade;Platform;;;;;0;;;;;
Bugs Bunny - Rabbit Rampage (USA);Bugs Bunny - Rabbit Rampage (USA);Super Nintendo Entertainment System;;1994;SunSoft;Platform;;;;;0;;;;;
Bulls vs Blazers and the NBA Playoffs (USA);Bulls vs Blazers and the NBA Playoffs (USA);Super Nintendo Entertainment System;;1992;EA Sports;Sports/Basketball;;;;;0;;;;;
Bust-A-Move (USA);Bust-A-Move (USA);Super Nintendo Entertainment System;;1995;Taito;Puzzle;;;;;0;;;;;
Cacoma Knight in Bizyland (USA);Cacoma Knight in Bizyland (USA);Super Nintendo Entertainment System;;1993;Seta Corporation;Action;;;;;0;;;;;
Cal Ripken Jr. Baseball (USA);Cal Ripken Jr. Baseball (USA);Super Nintendo Entertainment System;;1992;Mindscape;Sports/Baseball;;;;;0;;;;;
California Games II (USA);California Games II (USA);Super Nintendo Entertainment System;;1993;DTMC;Sports;;;;;0;;;;;
Cannon Fodder (Europe);Cannon Fodder (Europe);Super Nintendo Entertainment System;;1994;Virgin Interactive;Strategy;;;;;0;;;;;
Cannondale Cup (USA);Cannondale Cup (USA);Super Nintendo Entertainment System;;1994;American Softworks;Sports;;;;;0;;;;;
Capcom's MVP Football (USA);Capcom's MVP Football (USA);Super Nintendo Entertainment System;;1993;Capcom;Sports/Football;;;;;0;;;;;
Capcom's Soccer Shootout (USA);Capcom's Soccer Shootout (USA);Super Nintendo Entertainment System;;1994;Capcom;Sports/Soccer;;;;;0;;;;;
Captain America and the Avengers (USA);Captain America and the Avengers (USA);Super Nintendo Entertainment System;;1993;Mindscape;Fighter;;;;;0;;;;;
Captain Commando (USA);Captain Commando (USA);Super Nintendo Entertainment System;;1995;Capcom;Fighter;;;;;0;;;;;
Captain Novolin (USA);Captain Novolin (USA);Super Nintendo Entertainment System;;1992;Raya Systems;Platform;;;;;0;;;;;
Carrier Aces (USA);Carrier Aces (USA);Super Nintendo Entertainment System;;1995;Cybersoft;Strategy;;;;;0;;;;;
Casper (USA);Casper (USA);Super Nintendo Entertainment System;;1996;Natsume;Action;;;;;0;;;;;
Castlevania - Dracula X (USA);Castlevania - Dracula X (USA);Super Nintendo Entertainment System;;1995;Konami;Platform;;;;;0;;;;;
Champions - World Class Soccer (USA);Champions - World Class Soccer (USA);Super Nintendo Entertainment System;;1994;Flying Edge;Sports/Soccer;;;;;0;;;;;
Championship Pool (USA);Championship Pool (USA);Super Nintendo Entertainment System;;1993;Mindscape;Sports/Pool and Dart;;;;;0;;;;;
Championship Soccer '94 (USA);Championship Soccer '94 (USA);Super Nintendo Entertainment System;;1994;Sony Imagesoft;Sports/Soccer;;;;;0;;;;;
Chavez (USA);Chavez (USA);Super Nintendo Entertainment System;;1994;American Softworks;Sports;;;;;0;;;;;
Chavez II (USA);Chavez II (USA);Super Nintendo Entertainment System;;1994;American Softworks;Sports;;;;;0;;;;;
Chessmaster, The (USA);Chessmaster, The (USA);Super Nintendo Entertainment System;;1991;Mindscape;Miscellaneous;;;;;0;;;;;
Chester Cheetah - Too Cool to Fool (USA);Chester Cheetah - Too Cool to Fool (USA);Super Nintendo Entertainment System;;1992;Kaneko;Action;;;;;0;;;;;
Chester Cheetah - Wild Wild Quest (USA);Chester Cheetah - Wild Wild Quest (USA);Super Nintendo Entertainment System;;1994;Kaneko;Action;;;;;0;;;;;
Choplifter III - Rescue & Survive (USA);Choplifter III - Rescue & Survive (USA);Super Nintendo Entertainment System;;1994;Victor Interactive Software;Shooter;;;;;0;;;;;
Chrono Trigger (USA);Chrono Trigger (USA);Super Nintendo Entertainment System;;1995;Squaresoft;Role-Playing;;;;;0;;;;;
Chuck Rock (USA);Chuck Rock (USA);Super Nintendo Entertainment System;;1992;Sony Imagesoft;Platform;;;;;0;;;;;
Civilization (USA);Civilization (USA);Super Nintendo Entertainment System;;1994;Microprose;Strategy;;;;;0;;;;;
Classic Kong (World) (Unl);Classic Kong (World) (Unl);Super Nintendo Entertainment System;;2012;Bubble Zap Games;Platform;;;;;0;;;;;
Clay Fighter (USA);Clay Fighter (USA);Super Nintendo Entertainment System;;1993;Interplay;Fighter;;;;;0;;;;;
Clay Fighter - Tournament Edition (USA);Clay Fighter - Tournament Edition (USA);Super Nintendo Entertainment System;;1994;Interplay;Fighter;;;;;0;;;;;
Clay Fighter 2 - Judgment Clay (USA);Clay Fighter 2 - Judgment Clay (USA);Super Nintendo Entertainment System;;1994;Interplay;Fighter;;;;;0;;;;;
Claymates (USA);Claymates (USA);Super Nintendo Entertainment System;;1993;Interplay;Platform;;;;;0;;;;;
Cliffhanger (USA);Cliffhanger (USA);Super Nintendo Entertainment System;;1993;Sony Imagesoft;Fighter;;;;;0;;;;;
Clue (USA);Clue (USA);Super Nintendo Entertainment System;;1992;Parker Bros.;Miscellaneous;;;;;0;;;;;
College Football USA '97 - The Road to New Orleans (USA);College Football USA '97 - The Road to New Orleans (USA);Super Nintendo Entertainment System;;1996;Black Pearl;Sports;;;;;0;;;;;
College Slam (USA);College Slam (USA);Super Nintendo Entertainment System;;1996;Acclaim;Sports/Basketball;;;;;0;;;;;
Combatribes, The (USA);Combatribes, The (USA);Super Nintendo Entertainment System;;1993;Technos;Action;;;;;0;;;;;
Congo - The Movie - The Secret of Zinj (USA) (Proto);Congo - The Movie - The Secret of Zinj (USA) (Proto);Super Nintendo Entertainment System;;1996;Visual Concepts;Action;;;;;0;;;;;
Congo's Caper (USA);Congo's Caper (USA);Super Nintendo Entertainment System;;1993;Data East;Action;;;;;0;;;;;
Contra III - The Alien Wars (USA);Contra III - The Alien Wars (USA);Super Nintendo Entertainment System;;1992;Konami;Shooter;;;;;0;;;;;
Cool Spot (USA);Cool Spot (USA);Super Nintendo Entertainment System;;1993;Virgin Interactive;Platform;;;;;0;;;;;
Cool World (USA);Cool World (USA);Super Nintendo Entertainment System;;1992;Ocean;Action;;;;;0;;;;;
Cutthroat Island (USA);Cutthroat Island (USA);Super Nintendo Entertainment System;;1995;Acclaim;Action;;;;;0;;;;;
Cyber Spin (USA);Cyber Spin (USA);Super Nintendo Entertainment System;;1992;Takara;Driving;;;;;0;;;;;
Cybernator (USA);Cybernator (USA);Super Nintendo Entertainment System;;1993;Konami;Shooter;;;;;0;;;;;
D-Force (USA);D-Force (USA);Super Nintendo Entertainment System;;1991;Asmik Corporation of America;Action;;;;;0;;;;;
Daffy Duck - The Marvin Missions (USA);Daffy Duck - The Marvin Missions (USA);Super Nintendo Entertainment System;;1993;Sun Soft;Platform;;;;;0;;;;;
Darius Twin (USA);Darius Twin (USA);Super Nintendo Entertainment System;;1991;Taito;Shooter;;;;;0;;;;;
David Crane's Amazing Tennis (USA);David Crane's Amazing Tennis (USA);Super Nintendo Entertainment System;;1992;Absolute Entertainment;Sports/Tennis;;;;;0;;;;;
Daze Before Christmas (Europe);Daze Before Christmas (Europe);Super Nintendo Entertainment System;;1993;SunSoft;Platform;;;;;0;;;;;
Death and Return of Superman, The (USA);Death and Return of Superman, The (USA);Super Nintendo Entertainment System;;1994;Sun Soft;Fighter;;;;;0;;;;;
Demolition Man (USA);Demolition Man (USA);Super Nintendo Entertainment System;;1995;Acclaim;Platform;;;;;0;;;;;
Demon's Crest (USA);Demon's Crest (USA);Super Nintendo Entertainment System;;1994;Capcom;Platform;;;;;0;;;;;
Dennis the Menace (USA);Dennis the Menace (USA);Super Nintendo Entertainment System;;1993;Ocean;Platform;;;;;0;;;;;
Desert Strike - Return to the Gulf (USA);Desert Strike - Return to the Gulf (USA);Super Nintendo Entertainment System;;1993;Electronic Arts;Shooter;;;;;0;;;;;
Dig & Spike Volleyball (USA);Dig & Spike Volleyball (USA);Super Nintendo Entertainment System;;1993;Hudson;Sports;;;;;0;;;;;
Dino City (USA);Dino City (USA);Super Nintendo Entertainment System;;1992;Irem;Platform;;;;;0;;;;;
Dino Dini's Soccer! (Europe);Dino Dini's Soccer! (Europe);Super Nintendo Entertainment System;;1995;Virgin Interactive;Sports;;;;;0;;;;;
Dirt Racer (Europe);Dirt Racer (Europe);Super Nintendo Entertainment System;;1994;Elite Systems Ltd.;Driving;;;;;0;;;;;
