#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Fantasy Zone (USA);Fantasy Zone (USA);Sega Game Gear;;1991;Sims;Shooter;;;;;0;;;;;
Fatal Fury Special (USA);Fatal Fury Special (USA);Sega Game Gear;;1994;SNK;Fighter;;;;;0;;;;;
Foreman for Real (World);Foreman for Real (World);Sega Game Gear;;1995;Acclaim;Sports/Boxing;;;;;0;;;;;
Frank Thomas Big Hurt Baseball (USA);Frank Thomas Big Hurt Baseball (USA);Sega Game Gear;;1995;Acclaim;Sports/Baseball;;;;;0;;;;;
Fred Couples' Golf (USA);Fred Couples' Golf (USA);Sega Game Gear;;1994;Sega;Sports/Golf;;;;;0;;;;;
Frogger (USA) (Proto);Frogger (USA) (Proto);Sega Game Gear;;1991;Majesco;Action;;;;;0;;;;;
From TV Animation - Slam Dunk - Shouri e no Starting 5 (Japan);From TV Animation - Slam Dunk - Shouri e no Starting 5 (Japan);Sega Game Gear;;1994;Sims;Sports/Basketball;;;;;0;;;;;
G-LOC Air Battle (USA, Europe);G-LOC Air Battle (USA, Europe);Sega Game Gear;;1991;Sega;Flying;;;;;0;;;;;
GG Aleste (Japan);GG Aleste (Japan);Sega Game Gear;;1991;Compile;Shooter;;;;;0;;;;;
GP Rider (USA, Europe);GP Rider (USA, Europe);Sega Game Gear;;1994;Sega;Driving;;;;;0;;;;;
Galaga 2 (Europe);Galaga 2 (Europe);Sega Game Gear;;1991;Namco;Shooter;;;;;0;;;;;
Gamble Panic (Japan);Gamble Panic (Japan);Sega Game Gear;;1995;Sega;Tabletop;;;;;0;;;;;
Gambler Jiko Chuushinha (Japan);Gambler Jiko Chuushinha (Japan);Sega Game Gear;;1992;Game Arts;Mahjong;;;;;0;;;;;
Ganbare Gorby! (Japan);Ganbare Gorby! (Japan);Sega Game Gear;;1991;Biox;Action;;;;;0;;;;;
Garfield - Caught in the Act (USA, Europe);Garfield - Caught in the Act (USA, Europe);Sega Game Gear;;1995;Sega;Platform;;;;;0;;;;;
Gear Works (USA);Gear Works (USA);Sega Game Gear;;1994;Sony Imagesoft;Action;;;;;0;;;;;
George Foreman's KO Boxing (USA, Europe);George Foreman's KO Boxing (USA, Europe);Sega Game Gear;;1992;Flying Edge;Sports/Boxing;;;;;0;;;;;
Greendog (USA, Europe);Greendog (USA, Europe);Sega Game Gear;;1993;Sega;Action;;;;;0;;;;;
Griffin (Japan);Griffin (Japan);Sega Game Gear;;1991;Nippon Telenet;Shooter;;;;;0;;;;;
Gunstar Heroes (Japan);Gunstar Heroes (Japan);Sega Game Gear;;1995;Treasure;Shooter;;;;;0;;;;;
Halley Wars (USA, Europe);Halley Wars (USA, Europe);Sega Game Gear;;1991;Sega;Shooter;;;;;0;;;;;
Head Buster (Japan) (Translated En);Head Buster (Japan) (Translated En);Sega Game Gear;;1991;NCS;Strategy;;;;;0;;;;;
Home Alone (USA, Europe);Home Alone (USA, Europe);Sega Game Gear;;1992;Sega;Action;;;;;0;;;;;
Hook (USA, Europe);Hook (USA, Europe);Sega Game Gear;;1992;Sony Imagesoft;Platform;;;;;0;;;;;
Hurricanes (Europe);Hurricanes (Europe);Sega Game Gear;;1994;U.S. Gold;Action;;;;;0;;;;;
Hyokkori Hyoutan-Jima - Hyoutan-Jima no Daikoukai (Japan);Hyokkori Hyoutan-Jima - Hyoutan-Jima no Daikoukai (Japan);Sega Game Gear;;1992;Sega;Action;;;;;0;;;;;
Ichidant~R GG (Japan);Ichidant~R GG (Japan);Sega Game Gear;;1994;Sega;Puzzle;;;;;0;;;;;
Incredible Crash Dummies, The (USA, Europe);Incredible Crash Dummies, The (USA, Europe);Sega Game Gear;;1992;Flying Edge;Action;;;;;0;;;;;
Incredible Hulk, The (USA, Europe);Incredible Hulk, The (USA, Europe);Sega Game Gear;;1995;U.S. Gold;Action;;;;;0;;;;;
Indiana Jones and the Last Crusade (USA, Europe);Indiana Jones and the Last Crusade (USA, Europe);Sega Game Gear;;1992;U.S. Gold;Action;;;;;0;;;;;
Iron Man X-O Manowar in Heavy Metal (USA, Europe);Iron Man X-O Manowar in Heavy Metal (USA, Europe);Sega Game Gear;;1996;Acclaim;Platform;;;;;0;;;;;
Itchy & Scratchy Game, The (USA, Europe);Itchy & Scratchy Game, The (USA, Europe);Sega Game Gear;;1995;Acclaim;Action;;;;;0;;;;;
J-League GG Pro Striker '94 (Japan);J-League GG Pro Striker '94 (Japan);Sega Game Gear;;1994;Sega;Sports/Soccer;;;;;0;;;;;
J-League Soccer - Dream Eleven (Japan);J-League Soccer - Dream Eleven (Japan);Sega Game Gear;;1995;Sims;Sports/Soccer;;;;;0;;;;;
James Bond 007 - The Duel (Europe);James Bond 007 - The Duel (Europe);Sega Game Gear;;1993;Domark;Action;;;;;0;;;;;
James Pond 3 - Operation Starfi5h (Europe);James Pond 3 - Operation Starfi5h (Europe);Sega Game Gear;;1993;Electronic Arts;Platform;;;;;0;;;;;
James Pond II - Codename RoboCod (USA);James Pond II - Codename RoboCod (USA);Sega Game Gear;;1993;U.S. Gold;Action;;;;;0;;;;;
Jang Pung II (Korea) (Unl);Jang Pung II (Korea) (Unl);Sega Game Gear;;1993;Sieco;Fighter;;;;;0;;;;;
Jeopardy! (USA);Jeopardy! (USA);Sega Game Gear;;1992;GameTek;Game Show;;;;;0;;;;;
Jeopardy! - Sports Edition (USA, Europe);Jeopardy! - Sports Edition (USA, Europe);Sega Game Gear;;1994;GameTek;Game Show;;;;;0;;;;;
Joe Montana's Football (USA, Europe);Joe Montana's Football (USA, Europe);Sega Game Gear;;1991;Sega;Sports/Football;;;;;0;;;;;
Journey from Darkness - Strider Returns (USA, Europe);Journey from Darkness - Strider Returns (USA, Europe);Sega Game Gear;;1994;U.S. Gold;Platform;;;;;0;;;;;
Judge Dredd (USA, Europe);Judge Dredd (USA, Europe);Sega Game Gear;;1995;Acclaim;Action;;;;;0;;;;;
Junction (USA, Europe);Junction (USA, Europe);Sega Game Gear;;1991;Micronet;Puzzle;;;;;0;;;;;
Jungle Book, The (USA);Jungle Book, The (USA);Sega Game Gear;;1994;Majesco Games;Action;;;;;0;;;;;
Jungle Strike (USA);Jungle Strike (USA);Sega Game Gear;;1993;Unexpected Development;Action;;;;;0;;;;;
Jurassic Park (USA, Europe);Jurassic Park (USA, Europe);Sega Game Gear;;1993;Sega;Adventure;;;;;0;;;;;
Kaitou Saint Tail (Japan);Kaitou Saint Tail (Japan);Sega Game Gear;;1996;Minato Giken;Mini-Games;;;;;0;;;;;
Kawasaki Superbike Challenge (USA, Europe);Kawasaki Superbike Challenge (USA, Europe);Sega Game Gear;;1995;Time Warner Interactive;Motorcycle;;;;;0;;;;;
Kenyuu Densetsu Yaiba (Japan);Kenyuu Densetsu Yaiba (Japan);Sega Game Gear;;1994;Sega;Action;;;;;0;;;;;
Kinetic Connection (Japan);Kinetic Connection (Japan);Sega Game Gear;;1991;Sega;Puzzle;;;;;0;;;;;
Kishin Douji Zenki (Japan);Kishin Douji Zenki (Japan);Sega Game Gear;;1995;Sega;Action;;;;;0;;;;;
Klax (USA, Europe);Klax (USA, Europe);Sega Game Gear;;1992;Tengen;Puzzle;;;;;0;;;;;
Krusty's Fun House (USA, Europe);Krusty's Fun House (USA, Europe);Sega Game Gear;;1993;Flying Edge;Puzzle;;;;;0;;;;;
Land of Illusion Starring Mickey Mouse (USA, Europe);Land of Illusion Starring Mickey Mouse (USA, Europe);Sega Game Gear;;1993;Sega;Action;;;;;0;;;;;
Last Action Hero (USA);Last Action Hero (USA);Sega Game Gear;;1992;Sony Imagesoft;Action;;;;;0;;;;;
Legend of Illusion Starring Mickey Mouse (USA, Europe);Legend of Illusion Starring Mickey Mouse (USA, Europe);Sega Game Gear;;1995;Sega;Action;;;;;0;;;;;
Lemmings (World);Lemmings (World);Sega Game Gear;;1992;Sega;Puzzle;;;;;0;;;;;
Lemmings 2 - The Tribes (Europe) (Proto);Lemmings 2 - The Tribes (Europe) (Proto);Sega Game Gear;;1994;Spidersoft;Puzzle;;;;;0;;;;;
Lion King, The (USA);Lion King, The (USA);Sega Game Gear;;1995;Sega;Action;;;;;0;;;;;
Lost World, The - Jurassic Park (USA);Lost World, The - Jurassic Park (USA);Sega Game Gear;;1997;Sega;Action;;;;;0;;;;;
Lucky Dime Caper, The (USA, Europe);Lucky Dime Caper, The (USA, Europe);Sega Game Gear;;1992;Sega;Action;;;;;0;;;;;
