#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Number Jumble (World);Number Jumble (World);Mattel Intellivision;;1998;Intellivision Productions;Puzzle;;;;;;;;;;
PBA Bowling (World);PBA Bowling (World);Mattel Intellivision;;1981;Mattel Electronics;Sports;;;;;;;;;;
PGA Golf (World);PGA Golf (World);Mattel Intellivision;;1980;Mattel Electronics;Sports;;;;;;;;;;
Pac-Man (World);Pac-Man (World);Mattel Intellivision;;;;;;;;;;;;;;
Pinball (World);Pinball (World);Mattel Intellivision;;1983;Mattel Electronics;Action;;;;;;;;;;
Pitfall! (World);Pitfall! (World);Mattel Intellivision;;1982;Activision;Platform;;;;;;;;;;
Pole Position (World);Pole Position (World);Mattel Intellivision;;1988;INTV Corporation;Racing;1;;;;;;;;;
Popeye (World);Popeye (World);Mattel Intellivision;;1983;Parker Brothers;Stealth;;;;;;;;;;
Q-bert (World);Q-bert (World);Mattel Intellivision;;1983;Parker Brothers;Platform;1;;;;;;;;;
Reversi (World);Reversi (World);Mattel Intellivision;;1982;Mattel Electronics;Strategy;1;;;;;;;;;
River Raid (World);River Raid (World);Mattel Intellivision;;1983;Activision;Shooter;1;;;;;;;;;
Robot Rubble (World);Robot Rubble (World);Mattel Intellivision;;2001;Intellivision Productions;Action;1;;;;;;;;;
Royal Dealer (World);Royal Dealer (World);Mattel Intellivision;;1982;Mattel Electronics;Strategy;1;;;;;;;;;
Safecracker (World);Safecracker (World);Mattel Intellivision;;1983;Imagic;Action;1;;;;;;;;;
Scooby Doo's Maze Chase (World);Scooby Doo's Maze Chase (World);Mattel Intellivision;;1983;Mattel Electronics;Stealth;;;;;;;;;;
Sea Battle (World);Sea Battle (World);Mattel Intellivision;;1980;Mattel Electronics;Action;2;;;;;;;;;
Sewer Sam (World);Sewer Sam (World);Mattel Intellivision;;1983;Interphase Technologies Inc.;Shooter;1;;;;;;;;;
Shark! Shark! (World);Shark! Shark! (World);Mattel Intellivision;;1982;Mattel Electronics;Action;;;;;;;;;;
Sharp Shot (World);Sharp Shot (World);Mattel Intellivision;;1982;Mattel Electronics;;;;;;;;;;;
Slam Dunk - Super Pro Basketball (World);Slam Dunk - Super Pro Basketball (World);Mattel Intellivision;;1987;INTV;Sports;;;;;;;;;;
Slap Shot - Super Pro Hockey (World);Slap Shot - Super Pro Hockey (World);Mattel Intellivision;;1987;INTV Corporation;Sports;;;;;;;;;;
Snafu (World);Snafu (World);Mattel Intellivision;;1981;Mattel Electronics;Action;;;;;;;;;;
Space Armada (World);Space Armada (World);Mattel Intellivision;;1981;Mattel Electronics;Shooter;1;;;;;;;;;
Space Battle (World);Space Battle (World);Mattel Intellivision;;1980;Mattel Electronics;Action;1;;;;;;;;;
Space Cadet (World);Space Cadet (World);Mattel Intellivision;;1998;Intellivision Productions;;;;;;;;;;;
Space Hawk (World);Space Hawk (World);Mattel Intellivision;;1982;Mattel Electronics;Action;1;;;;;;;;;
Space Spartans (World);Space Spartans (World);Mattel Intellivision;;1982;Mattel Electronics;Action;1;;;;;;;;;
Spiker! - Super Pro Volleyball (World);Spiker! - Super Pro Volleyball (World);Mattel Intellivision;;1989;INTV Corporation;Sports;;;;;;;;;;
Stadium Mud Buggies (World);Stadium Mud Buggies (World);Mattel Intellivision;;1989;INTV Corporation;Racing;;;;;;;;;;
Stampede (World);Stampede (World);Mattel Intellivision;;1982;Activision;Shooter;1;;;;;;;;;
Star Strike (World);Star Strike (World);Mattel Intellivision;;1981;Mattel Electronics;Action;1;;;;;;;;;
Star Wars - The Empire Strikes Back (World);Star Wars - The Empire Strikes Back (World);Mattel Intellivision;;1983;Parker Brothers;Shooter;1;;;;;;;;;
Stonix (World);Stonix (World);Mattel Intellivision;;2004;independent;Action;1;;;;;;;;;
Sub Hunt (World);Sub Hunt (World);Mattel Intellivision;;1982;Mattel Electronics;Action;1;;;;;;;;;
Super Cobra (World);Super Cobra (World);Mattel Intellivision;;1982;Parker Brothers;Shooter;1;;;;;;;;;
Super Pro Decathlon (World);Super Pro Decathlon (World);Mattel Intellivision;;1988;INTV Corporation;Sports;;;;;;;;;;
Super Pro Football (World);Super Pro Football (World);Mattel Intellivision;;1986;INTV Corporation;Sports;;;;;;;;;;
Swords & Serpents (World);Swords & Serpents (World);Mattel Intellivision;;1982;Imagic;Adventure;;;;;;;;;;
TRON - Deadly Discs (World);TRON - Deadly Discs (World);Mattel Intellivision;;1982;Mattel Electronics;Action;1;;;;;;;;;
TRON - Maze-A-Tron (World);TRON - Maze-A-Tron (World);Mattel Intellivision;;1982;Mattel Electronics;Action;1;;;;;;;;;
TRON - Solar Sailer (World);TRON - Solar Sailer (World);Mattel Intellivision;;1983;Mattel Electronics;Action;1;;;;;;;;;
Takeover (World);Takeover (World);Mattel Intellivision;;1998;Intellivision Productions;Strategy;2;;;;;;;;;
Tennis (World);Tennis (World);Mattel Intellivision;;1980;Mattel Electronics;Sports;2;;;;;;;;;
Thunder Castle (World);Thunder Castle (World);Mattel Intellivision;;1986;INTV Corporation;Stealth;;;;;;;;;;
Tower of Doom (World);Tower of Doom (World);Mattel Intellivision;;1987;INTV Corporation;Role-Playing;1;;;;;;;;;
Triple Action (World);Triple Action (World);Mattel Intellivision;;1981;Mattel Electronics;Action;2;;;;;;;;;
Triple Challenge (World);Triple Challenge (World);Mattel Intellivision;;1987;INTV Corporation;Strategy;1;;;;;;;;;
Tropical Trouble (World);Tropical Trouble (World);Mattel Intellivision;;1982;Imagic;Platform;1;;;;;;;;;
Truckin' (World);Truckin' (World);Mattel Intellivision;;1983;Imagic;Construction and Management Simulation / Strategy;;;;;;;;;;
Turbo (World);Turbo (World);Mattel Intellivision;;1983;Coleco;Racing;1;;;;;;;;;
Tutankham (World);Tutankham (World);Mattel Intellivision;;1983;Parker Brothers;Shooter;1;;;;;;;;;
U.S. Ski Team Skiing (World);U.S. Ski Team Skiing (World);Mattel Intellivision;;1980;Mattel Electronics;Sports;;;;;;;;;;
USCF Chess (World);USCF Chess (World);Mattel Intellivision;;1982;Mattel Electronics;Strategy;1;;;;;;;;;
Utopia (World);Utopia (World);Mattel Intellivision;;1982;Mattel Electronics;Construction and Management Simulation / Strategy;;;;;;;;;;
Vectron (World);Vectron (World);Mattel Intellivision;;1983;Mattel Electronics;Shooter;;;;;;;;;;
Venture (World);Venture (World);Mattel Intellivision;;1983;Coleco;Shooter;1;;;;;;;;;
White Water! (World);White Water! (World);Mattel Intellivision;;1983;Imagic;Action;1;;;;;;;;;
World Championship Baseball (World);World Championship Baseball (World);Mattel Intellivision;;1986;INTV;Sports;;;;;;;;;;
World Cup Soccer (World);World Cup Soccer (World);Mattel Intellivision;;1985;Dextell;Sports;4+;;;;;;;;;
World Series Major League Baseball (World);World Series Major League Baseball (World);Mattel Intellivision;;1983;Mattel Electronics;Sports;;;;;;;;;;
Worm Whomper (World);Worm Whomper (World);Mattel Intellivision;;1983;Activision;Shooter;1;;;;;;;;;
Zaxxon (World);Zaxxon (World);Mattel Intellivision;;1983;Coleco;Shooter;1;;;;;;;;;
