#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Ark of Time (Europe);Ark of Time (Europe);Sony PlayStation;;1998;Project Two Interactive;Adventure;;;;;0;;;;;
Armored Core (USA);Armored Core (USA);Sony PlayStation;;1997;SCEA;Simulation;;;;;0;;;;;
Armored Core - Master of Arena (USA) (Disc 1);Armored Core - Master of Arena (USA) (Disc 1);Sony PlayStation;;2000;Agetec;Simulation;;;;;0;;;;;
Armored Core - Master of Arena (USA) (Disc 2);Armored Core - Master of Arena (USA) (Disc 2);Sony PlayStation;;2000;Agetec;Simulation;;;;;0;;;;;
Armored Core - Project Phantasma (USA);Armored Core - Project Phantasma (USA);Sony PlayStation;;1998;ASCII;Simulation;;;;;0;;;;;
Armorines - Project S.W.A.R.M. (USA);Armorines - Project S.W.A.R.M. (USA);Sony PlayStation;;2000;Acclaim;Action;;;;;0;;;;;
Army Men - Air Attack (USA);Army Men - Air Attack (USA);Sony PlayStation;;1999;3DO;Action;;;;;0;;;;;
Army Men - Air Attack 2 (USA);Army Men - Air Attack 2 (USA);Sony PlayStation;;2000;3DO;Action;;;;;0;;;;;
Army Men - Green Rogue (USA);Army Men - Green Rogue (USA);Sony PlayStation;;2001;3DO;Action;;;;;0;;;;;
Army Men - Sarge's Heroes (USA);Army Men - Sarge's Heroes (USA);Sony PlayStation;;2000;3DO;Action;;;;;0;;;;;
Army Men - Sarge's Heroes 2 (USA);Army Men - Sarge's Heroes 2 (USA);Sony PlayStation;;2000;3DO;Action;;;;;0;;;;;
Army Men - World War (USA);Army Men - World War (USA);Sony PlayStation;;2000;3DO;Action;;;;;0;;;;;
Army Men - World War - Final Front (USA);Army Men - World War - Final Front (USA);Sony PlayStation;;2001;3DO;Action;;;;;0;;;;;
Army Men - World War - Land, Sea, Air (USA);Army Men - World War - Land, Sea, Air (USA);Sony PlayStation;;2000;3DO;Action;;;;;0;;;;;
Army Men - World War - Team Assault (USA);Army Men - World War - Team Assault (USA);Sony PlayStation;;2001;3DO;Action;;;;;0;;;;;
Army Men 3D (USA);Army Men 3D (USA);Sony PlayStation;;1999;3DO;Action;;;;;0;;;;;
Arthur! Ready to Race (USA);Arthur! Ready to Race (USA);Sony PlayStation;;2000;Mattel;Driving;;;;;0;;;;;
Assault - Retribution (USA);Assault - Retribution (USA);Sony PlayStation;;1998;Midway;Action;;;;;0;;;;;
Assault Rigs (USA);Assault Rigs (USA);Sony PlayStation;;1996;Psygnosis;Shooter;;;;;0;;;;;
Asterix & Obelix - Take on Caesar (Europe);Asterix & Obelix - Take on Caesar (Europe);Sony PlayStation;;2000;Cryo Interactive;Action;;;;;0;;;;;
Asterix (Europe);Asterix (Europe);Sony PlayStation;;1999;Atari;Action;;;;;0;;;;;
Asterix - Mega Madness (Europe);Asterix - Mega Madness (Europe);Sony PlayStation;;2001;UDS;Party;;;;;0;;;;;
Asteroids (USA);Asteroids (USA);Sony PlayStation;;1998;Activision;Shooter;;;;;0;;;;;
Atari Anniversary Edition Redux (USA);Atari Anniversary Edition Redux (USA);Sony PlayStation;;2001;Infogrames;Miscellaneous;;;;;0;;;;;
Atlantis - The Lost Continent (Europe);Atlantis - The Lost Continent (Europe);Sony PlayStation;;2003;Phoenix Games;Puzzle;;;;;0;;;;;
Atlantis - The Lost Tales (Europe) (Disc 1);Atlantis - The Lost Tales (Europe) (Disc 1);Sony PlayStation;;1998;Cryo Interactive;Adventure;;;;;0;;;;;
