#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
dassault;Desert Assault (US);MAME (Advance);thndzone;1991;Data East Corporation;Shooter / Walking;;;;;0;;;;;
desertbrj;Desert Breaker (Japan, FD1094 317-0194);MAME (Advance);desertbr;1992;Sega;Shooter / Walking;;;;;0;;;;;
desertbr;Desert Breaker (World, FD1094 317-0196);MAME (Advance);;1992;Sega;Shooter / Walking;;;;;0;;;;;
desertdn;Desert Dan;MAME (Advance);;1982;Video Optics;Fighter / Vertical;;;;;0;;;;;
desertgu;Desert Gun;MAME (Advance);;1977;Dave Nutting Associates / Midway;Shooter / Gun;;;;;0;;;;;
desertwr;Desert War / Wangan Sensou;MAME (Advance);;1995;Jaleco;Shooter / Flying Vertical;;;;;0;;;;;
desterth;Destination Earth (bootleg of Lunar Rescue);MAME (Advance);lrescue;1979;bootleg;Maze / Shooter Small;;;;;0;;;;;
destryer;Destroyer (Cidelsa) (set 1);MAME (Advance);;1980;Cidelsa;Shooter / Gallery;;;;;0;;;;;
destryera;Destroyer (Cidelsa) (set 2);MAME (Advance);destryer;1980;Cidelsa;Shooter / Gallery;;;;;0;;;;;
destroyr1;Destroyer (version O1);MAME (Advance);destroyr;1977;Atari;Shooter / Gallery;;;;;0;;;;;
destroyr;Destroyer (version O2);MAME (Advance);;1977;Atari;Shooter / Gallery;;;;;0;;;;;
detatwin;Detana!! Twin Bee (Japan ver. J);MAME (Advance);blswhstl;1991;Konami;Shooter / Flying Vertical;;;;;0;;;;;
devstors3;Devastators (ver. V);MAME (Advance);devstors;1988;Konami;Shooter / 3rd Person;;;;;0;;;;;
devstors2;Devastators (ver. X);MAME (Advance);devstors;1988;Konami;Shooter / 3rd Person;;;;;0;;;;;
devstors;Devastators (ver. Z);MAME (Advance);;1988;Konami;Shooter / 3rd Person;;;;;0;;;;;
devilfsh;Devil Fish;MAME (Advance);;1982;Artic;Maze;;;;;0;;;;;
devilfsg;Devil Fish (Galaxian hardware, bootleg?);MAME (Advance);devilfsh;1984;Vision / Artic;Maze;;;;;0;;;;;
dvislando;Devil Island (Version 1.0R CGA);MAME (Advance);dvisland;2006;Amcoe;Casino / Reels;;;;;0;;;;;
dvisland;Devil Island (Version 1.4R CGA);MAME (Advance);;2006;Amcoe;Casino / Reels;;;;;0;;;;;
devilw;Devil World;MAME (Advance);;1987;Konami;Shooter / Walking;;;;;0;;;;;
devzone;Devil Zone;MAME (Advance);;1980;Universal;Shooter / Gallery;;;;;0;;;;;
devzone2;Devil Zone (easier);MAME (Advance);devzone;1980;Universal;Shooter / Gallery;;;;;0;;;;;
dharma;Dharma Doujou;MAME (Advance);;1994;Metro;Puzzle / Misc.;;;;;0;;;;;
dharmaj;Dharma Doujou (Japan);MAME (Advance);dharma;1994;Metro;Puzzle / Misc.;;;;;0;;;;;
dharmak;Dharma Doujou (Korea);MAME (Advance);dharma;1994;Metro;Puzzle / Misc.;;;;;0;;;;;
diamond;Diamond Run;MAME (Advance);;1989;KH Video;Maze / Digging;;;;;0;;;;;
diehard;Die Hard Arcade (UET 960515 V1.000);MAME (Advance);;1996;Sega;Fighter / 2.5D;;;;;0;;;;;
dtfamily;Diet Family;MAME (Advance);;2001;SemiCom;Shooter / Gallery;;;;;0;;;;;
dietgoe;Diet Go Go (Euro v1.1 1992.08.04);MAME (Advance);dietgo;1992;Data East Corporation;Platform / Run Jump;;;;;0;;;;;
dietgo;Diet Go Go (Euro v1.1 1992.09.26);MAME (Advance);;1992;Data East Corporation;Platform / Run Jump;;;;;0;;;;;
dietgoj;Diet Go Go (Japan v1.1 1992.09.26);MAME (Advance);dietgo;1992;Data East Corporation;Platform / Run Jump;;;;;0;;;;;
