#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Flash, The (Europe);Flash, The (Europe);Sega Master System;;1993;Sega;Platform;;;;;0;;;;;
Flintstones, The (Europe);Flintstones, The (Europe);Sega Master System;;1993;Sega;Action;;;;;0;;;;;
Forgotten Worlds (Europe);Forgotten Worlds (Europe);Sega Master System;;1991;Sega;Shooter;;;;;0;;;;;
G-LOC Air Battle (Europe);G-LOC Air Battle (Europe);Sega Master System;;1991;Sega;Flying;;;;;0;;;;;
GP Rider (Europe);GP Rider (Europe);Sega Master System;;1993;Sega;Driving;;;;;0;;;;;
Gain Ground (Europe);Gain Ground (Europe);Sega Master System;;1991;Sega;Shooter;;;;;0;;;;;
Galactic Protector (Japan);Galactic Protector (Japan);Sega Master System;;1988;Sega;Shooter;;;;;0;;;;;
Galaxy Force (USA);Galaxy Force (USA);Sega Master System;;1989;Activision;Shooter;;;;;0;;;;;
Gangster Town (USA, Europe);Gangster Town (USA, Europe);Sega Master System;;1987;Sega;Gun;;;;;0;;;;;
Gauntlet (Europe);Gauntlet (Europe);Sega Master System;;1990;U.S. Gold;Action;;;;;0;;;;;
Gekioko PunPun Maru (Japan) (Unl);Gekioko PunPun Maru (Japan) (Unl);Sega Master System;;2013;MtChocolate;Platform;;;;;0;;;;;
George Foreman's KO Boxing (Europe);George Foreman's KO Boxing (Europe);Sega Master System;;1992;Flying Edge;Sports/Boxing;;;;;0;;;;;
Geraldinho (Brazil);Geraldinho (Brazil);Sega Master System;;1994;Tec Toy;Platform;;;;;0;;;;;
Ghost House (USA, Europe);Ghost House (USA, Europe);Sega Master System;;1986;Sega;Action;;;;;0;;;;;
Ghostbusters (USA, Europe);Ghostbusters (USA, Europe);Sega Master System;;1987;Sega;Action;;;;;0;;;;;
Ghouls'n Ghosts (USA, Europe);Ghouls'n Ghosts (USA, Europe);Sega Master System;;1990;Sega;Platform;;;;;0;;;;;
Global Defense (USA, Europe);Global Defense (USA, Europe);Sega Master System;;1987;Sega;Shooter;;;;;0;;;;;
Golden Axe (USA, Europe);Golden Axe (USA, Europe);Sega Master System;;1989;Sega;Beat-'Em-Up;;;;;0;;;;;
Golden Axe Warrior (USA, Europe);Golden Axe Warrior (USA, Europe);Sega Master System;;1991;Sega;Role-Playing;;;;;0;;;;;
Golfamania (Europe);Golfamania (Europe);Sega Master System;;1990;Sega;Sports/Golf;;;;;0;;;;;
Golvellius (USA, Europe);Golvellius (USA, Europe);Sega Master System;;1988;Sega;Role-Playing;;;;;0;;;;;
Great Baseball (Japan);Great Baseball (Japan);Sega Master System;;1985;Sega;Sports/Baseball;;;;;0;;;;;
Great Baseball (USA, Europe);Great Baseball (USA, Europe);Sega Master System;;1987;Sega;Sports/Baseball;;;;;0;;;;;
Great Basketball (World);Great Basketball (World);Sega Master System;;1987;Sega;Sports/Basketball;;;;;0;;;;;
Great Football (World);Great Football (World);Sega Master System;;1987;Sega;Sports/Football;;;;;0;;;;;
Great Golf (Japan);Great Golf (Japan);Sega Master System;;1986;Sega;Sports/Golf;;;;;0;;;;;
Great Golf (World);Great Golf (World);Sega Master System;;1987;Sega;Sports/Golf;;;;;0;;;;;
Great Ice Hockey (Japan, USA);Great Ice Hockey (Japan, USA);Sega Master System;;1987;Sega;Sports/Hockey;;;;;0;;;;;
Great Soccer (Europe);Great Soccer (Europe);Sega Master System;;1985;Sega;Sports/Soccer;;;;;0;;;;;
Great Soccer (USA);Great Soccer (USA);Sega Master System;;1987;Sega;Sports/Soccer;;;;;0;;;;;
Great Volleyball (USA, Europe);Great Volleyball (USA, Europe);Sega Master System;;1987;Sega;Sports/Volleyball;;;;;0;;;;;
Hang-On & Safari Hunt (USA);Hang-On & Safari Hunt (USA);Sega Master System;;1986;Sega;Compilation;;;;;0;;;;;
Hang-On (Europe);Hang-On (Europe);Sega Master System;;1985;Sega;Motorcycle;;;;;0;;;;;
Heroes of the Lance (Europe);Heroes of the Lance (Europe);Sega Master System;;1991;U.S. Gold;Role-Playing;;;;;0;;;;;
High School! Kimengumi (Japan) (Translated En);High School! Kimengumi (Japan) (Translated En);Sega Master System;;1986;Sega;Action;;;;;0;;;;;
