#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
pkladiesla;Poker Ladies (Leprechaun ver. 401);Final Burn Alpha;pkladies;1989;Leprechaun;;;;;;0;;;;;
pkladiesl;Poker Ladies (Leprechaun ver. 510);Final Burn Alpha;pkladies;1989;Leprechaun;;;;;;0;;;;;
poknight;Poker Night [Homebrew];Final Burn Alpha;;????;Jeff Kurtz;;;;;;0;;;;;
pompingw;Pomping World (Japan);Final Burn Alpha;pang;1989;Mitchell;;;;;;0;;;;;
ponpoko;Ponpoko;Final Burn Alpha;;1982;Sigma Enterprises Inc.;;;;;;0;;;;;
ponpokov;Ponpoko (Venture Line);Final Burn Alpha;ponpoko;1982;Sigma Enterprises Inc. (Venture Line license);;;;;;0;;;;;
pootan;Pootan [Bootleg];Final Burn Alpha;pooyan;1982;bootleg;;;;;;0;;;;;
pooyan;Pooyan;Final Burn Alpha;;1982;Konami;;;;;;0;;;;;
pooyans;Pooyan (Stern);Final Burn Alpha;pooyan;1982;[Konami] (Stern license);;;;;;0;;;;;
popbounc;Pop 'n Bounce / Gapporin;Final Burn Alpha;;1997;Video System Co.;;;;;;0;;;;;
popspops;Pop's Pop's;Final Burn Alpha;;1999;Afega;;;;;;0;;;;;
popeyeman;Popeye-Man [Hack];Final Burn Alpha;puckman;1981;hack;;;;;;0;;;;;
populous1;Populous (Alt);Final Burn Alpha;populous;1991;Hudson;;;;;;0;;;;;
populous;Populous (Euro);Final Burn Alpha;;1991;Electronic Arts;;;;;;0;;;;;
populousj;Populous (Jpn);Final Burn Alpha;populous;1991;Sega;;;;;;0;;;;;
populousu;Populous (USA);Final Burn Alpha;populous;1991;Sega;;;;;;0;;;;;
porky;Porky;Final Burn Alpha;;1985;Shinkai Inc. (Magic Eletronics Inc. license);;;;;;0;;;;;
porter;Port Man (bootleg on Moon Cresta hardware) [Bootleg];Final Burn Alpha;dockman;19??;Nova Games Ltd;;;;;;0;;;;;
powerath;Power Athlete (Jpn, Kor);Final Burn Alpha;deadlymv;1992;Kaneko;;;;;;0;;;;;
pdrift1;Power Drift (Alt);Final Burn Alpha;pdrift;1990;Asmik;;;;;;0;;;;;
pdriftj;Power Drift (Japan);Final Burn Alpha;pdrift;1988;Sega;;;;;;0;;;;;
pdrifta;Power Drift (World);Final Burn Alpha;pdrift;1988;Sega;;;;;;0;;;;;
pdrifte;Power Drift (World, Earlier);Final Burn Alpha;pdrift;1988;Sega;;;;;;0;;;;;
pdrift;Power Drift (World, Rev A);Final Burn Alpha;;1988;Sega;;;;;;0;;;;;
pdrive;Power Drive (Euro);Final Burn Alpha;;1994;U.S. Gold;;;;;;0;;;;;
