#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
El Monstruo de Los Globos (Spain) (Unl);El Monstruo de Los Globos (Spain) (Unl);Nintendo Entertainment System;;1991;Mega Soft;Shooter;;;;;0;;;;;
Elevator Action (USA);Elevator Action (USA);Nintendo Entertainment System;;1987;Taito Corporation;Platform;;;;;0;;;;;
Eliminator Boat Duel (USA);Eliminator Boat Duel (USA);Nintendo Entertainment System;;1991;Electro Brain;Water;;;;;0;;;;;
Elite (Europe);Elite (Europe);Nintendo Entertainment System;;1991;Imagineer;Simulation;;;;;0;;;;;
Empereur, L' (USA);Empereur, L' (USA);Nintendo Entertainment System;;1991;Koei;Strategy;;;;;0;;;;;
Escape from Atlantis, The (USA) (Proto) (Unl);Escape from Atlantis, The (USA) (Proto) (Unl);Nintendo Entertainment System;;1990;Color Dreams;Action;;;;;0;;;;;
Excitebike (Japan, USA);Excitebike (Japan, USA);Nintendo Entertainment System;;1985;Nintendo;Action;;;;;0;;;;;
Exerion II (USA) (Proto);Exerion II (USA) (Proto);Nintendo Entertainment System;;1987;TOSE;Shoot-'Em-Up;;;;;0;;;;;
Exodus - Journey to the Promised Land (USA) (Unl);Exodus - Journey to the Promised Land (USA) (Unl);Nintendo Entertainment System;;1990;Wisdom Tree;Puzzle;;;;;0;;;;;
Exploding Fist (USA) (Proto);Exploding Fist (USA) (Proto);Nintendo Entertainment System;;1991;Beam Software;Fighter;;;;;0;;;;;
F-117A - Stealth Fighter (USA);F-117A - Stealth Fighter (USA);Nintendo Entertainment System;;1992;MicroProse;Flying;;;;;0;;;;;
F-15 Strike Eagle (USA);F-15 Strike Eagle (USA);Nintendo Entertainment System;;1993;MicroProse;Flying;;;;;0;;;;;
F15 City War (USA) (Unl);F15 City War (USA) (Unl);Nintendo Entertainment System;;1990;American Video Entertainment;Flying;;;;;0;;;;;
Family Feud (USA);Family Feud (USA);Nintendo Entertainment System;;1991;GameTek;Game Show;;;;;0;;;;;
Fantastic Adventures of Dizzy, The (USA) (Unl);Fantastic Adventures of Dizzy, The (USA) (Unl);Nintendo Entertainment System;;1993;Camerica;Adventure;;;;;0;;;;;
Fantasy Zone (USA) (Unl);Fantasy Zone (USA) (Unl);Nintendo Entertainment System;;1989;Tengen;Platform;;;;;0;;;;;
Faria - A World of Mystery & Danger! (USA);Faria - A World of Mystery & Danger! (USA);Nintendo Entertainment System;;1991;Nexoft;Role-Playing;;;;;0;;;;;
Faxanadu (USA);Faxanadu (USA);Nintendo Entertainment System;;1989;Nintendo;Role-Playing;;;;;0;;;;;
Felix the Cat (USA);Felix the Cat (USA);Nintendo Entertainment System;;1992;Hudson;Platform;;;;;0;;;;;
Ferrari Grand Prix Challenge (USA);Ferrari Grand Prix Challenge (USA);Nintendo Entertainment System;;1992;Acclaim;Driving;;;;;0;;;;;
Fester's Quest (USA);Fester's Quest (USA);Nintendo Entertainment System;;1989;SunSoft;Adventure;;;;;0;;;;;
Final Fantasy (USA);Final Fantasy (USA);Nintendo Entertainment System;;1990;Nintendo;Role-Playing;;;;;0;;;;;
Fire 'n Ice (USA);Fire 'n Ice (USA);Nintendo Entertainment System;;1993;Tecmo;Puzzle;;;;;0;;;;;
Firehawk (USA) (Unl);Firehawk (USA) (Unl);Nintendo Entertainment System;;1991;Camerica;Action;;;;;0;;;;;
Fisher-Price - Firehouse Rescue (USA);Fisher-Price - Firehouse Rescue (USA);Nintendo Entertainment System;;1992;GameTek;Action;;;;;0;;;;;
Fisher-Price - I Can Remember (USA);Fisher-Price - I Can Remember (USA);Nintendo Entertainment System;;1990;GameTek;Educational;;;;;0;;;;;
Fisher-Price - Perfect Fit (USA);Fisher-Price - Perfect Fit (USA);Nintendo Entertainment System;;1990;GameTek;Educational;;;;;0;;;;;
Fist of the North Star (USA);Fist of the North Star (USA);Nintendo Entertainment System;;1989;Taxan;Action;;;;;0;;;;;
Flight of the Intruder (USA);Flight of the Intruder (USA);Nintendo Entertainment System;;1991;Mindscape Inc.;Flying;;;;;0;;;;;
